DATE,TIME PERIOD,(LFSI.M.AT.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.BE.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.BG.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.CY.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.CZ.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.DE.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.DK.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.EE.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.ES.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.FI.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.FR.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.GB.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.GR.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.HR.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.HU.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.IE.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.IT.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.LT.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.LU.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.LV.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.MT.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.NL.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.PL.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.PT.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.RO.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.SE.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.SI.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.SK.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.U2.N.UNEHRT.TOTAL0.15_74.T)
1985-08-31,1985Aug,,,,,,,5.868496,,,,,11.127492,,,,17.121995,7.945580,,2.631770,,,7.718439,,,,2.912517,,,
1985-09-30,1985Sep,,,,,,,5.816370,,,,,11.373184,,,,17.025825,8.136829,,2.676807,,,8.135377,,,,3.243133,,,
1985-10-31,1985Oct,,,,,,,5.666029,,,,,11.167185,,,,16.670115,8.449705,,2.869237,,,8.133850,,,,2.581985,,,
1985-11-30,1985Nov,,,,,,,5.537078,,,,,11.063861,,,,16.559357,8.585749,,2.994594,,,8.064844,,,,2.688204,,,
1985-12-31,1985Dec,,,,,,,5.474865,,,,,11.194009,,,,16.940427,8.629120,,2.995879,,,7.454631,,,,2.841982,,,
1986-01-31,1986Jan,,,,,,,5.722486,,,,,11.413048,,,,17.269185,8.795533,,3.068594,,,8.278155,,,,3.068194,,,
1986-02-28,1986Feb,,,,,,,5.950681,,,,,11.339185,,,,17.186602,8.870797,,3.149519,,,8.400701,,,,3.012826,,,
1986-03-31,1986mar,,,,,,,5.826644,,,,,11.274622,,,,17.053762,8.797881,,2.928207,,,8.394318,,,,3.093636,,,
1986-04-30,1986Apr,,9.736852,,,,,5.466334,,20.855490,,,11.285494,,,,16.842764,8.674306,,2.625153,,,7.800822,,,,2.531200,,,
1986-05-31,1986May,,9.561391,,,,,4.939868,,20.602418,,,11.130375,,,,16.638558,8.642140,,2.497053,,,7.546574,,,,2.424477,,,
1986-06-30,1986Jun,,9.449084,,,,,4.533867,,20.314648,,,11.039911,,,,16.712351,8.643925,,2.324100,,,7.647179,,,,2.288369,,,
1986-07-31,1986Jul,,9.793665,,,,,4.390266,,20.112234,,,11.235232,,,,16.889724,8.568939,,2.233026,,,6.896589,,,,2.219040,,,
1986-08-31,1986Aug,,10.237148,,,,,4.435249,,19.914912,,,11.284082,,,,16.978446,8.691395,,2.238292,,,6.954564,,,,2.766146,,,
